Modelo,seed,n_estimators,retomado,iteracoes_efetivas,epocas_selecionadas,melhor_val_loss,epocas,lotes_por_epoca,amostras
XGBoost,11,350.0,False,,,,,,
XGBoost,23,271.0,False,,,,,,
XGBoost,42,207.0,False,,,,,,
XGBoost,67,392.0,False,,,,,,
XGBoost,89,242.0,False,,,,,,
MLP,11,,False,336.0,,,,,
MLP,23,,False,584.0,,,,,
MLP,42,,False,426.0,,,,,
MLP,67,,False,524.0,,,,,
MLP,89,,False,458.0,,,,,
RNN,11,,False,,102.0,0.008617391809821129,,,
RNN,23,,False,,72.0,0.007776542566716671,,,
RNN,42,,False,,132.0,0.009836210869252682,,,
RNN,67,,False,,71.0,0.0077207619324326515,,,
RNN,89,,False,,61.0,0.009430889040231705,,,
LSTM,11,,False,,110.0,0.008308583870530128,,,
LSTM,23,,False,,114.0,0.007796974387019873,,,
LSTM,42,,False,,147.0,0.00807411689311266,,,
LSTM,67,,False,,97.0,0.00751353707164526,,,
LSTM,89,,False,,109.0,0.007721972651779652,,,
DilatedRNN,11,,False,,72.0,0.0105595076456666,,,
DilatedRNN,23,,False,,146.0,0.008824910968542099,,,
DilatedRNN,42,,False,,21.0,0.010298999957740307,,,
DilatedRNN,67,,False,,104.0,0.009047379717230797,,,
DilatedRNN,89,,False,,69.0,0.008869769051671028,,,
DeepNPTS,11,,False,,,,100.0,100.0,500.0
DeepNPTS,23,,False,,,,100.0,100.0,500.0
DeepNPTS,42,,False,,,,100.0,100.0,500.0
DeepNPTS,67,,False,,,,100.0,100.0,500.0
DeepNPTS,89,,False,,,,100.0,100.0,500.0
DeepAR,11,,False,,,,100.0,50.0,500.0
DeepAR,23,,False,,,,100.0,50.0,500.0
DeepAR,42,,False,,,,100.0,50.0,500.0
DeepAR,67,,False,,,,100.0,50.0,500.0
DeepAR,89,,False,,,,100.0,50.0,500.0
